,Image,VideoIdx,FrameIdx,Class,t0
0,EmbryonVideoClassif/Frames/V3/1.png,V3,1.png,0,23.75
1,EmbryonVideoClassif/Frames/V3/2.png,V3,2.png,0,23.75
2,EmbryonVideoClassif/Frames/V3/3.png,V3,3.png,0,23.75
3,EmbryonVideoClassif/Frames/V3/4.png,V3,4.png,0,23.75
4,EmbryonVideoClassif/Frames/V3/5.png,V3,5.png,0,23.75
5,EmbryonVideoClassif/Frames/V3/6.png,V3,6.png,0,23.75
6,EmbryonVideoClassif/Frames/V3/7.png,V3,7.png,0,23.75
7,EmbryonVideoClassif/Frames/V3/8.png,V3,8.png,0,23.75
8,EmbryonVideoClassif/Frames/V3/9.png,V3,9.png,0,23.75
9,EmbryonVideoClassif/Frames/V3/10.png,V3,10.png,0,23.75
10,EmbryonVideoClassif/Frames/V3/11.png,V3,11.png,0,23.75
11,EmbryonVideoClassif/Frames/V3/12.png,V3,12.png,0,23.75
12,EmbryonVideoClassif/Frames/V3/13.png,V3,13.png,0,23.75
13,EmbryonVideoClassif/Frames/V3/14.png,V3,14.png,0,23.75
14,EmbryonVideoClassif/Frames/V3/15.png,V3,15.png,0,23.75
15,EmbryonVideoClassif/Frames/V3/16.png,V3,16.png,0,23.75
16,EmbryonVideoClassif/Frames/V3/17.png,V3,17.png,0,23.75
17,EmbryonVideoClassif/Frames/V3/18.png,V3,18.png,0,23.75
18,EmbryonVideoClassif/Frames/V3/19.png,V3,19.png,0,23.75
19,EmbryonVideoClassif/Frames/V3/20.png,V3,20.png,0,23.75
20,EmbryonVideoClassif/Frames/V3/21.png,V3,21.png,0,23.75
21,EmbryonVideoClassif/Frames/V3/22.png,V3,22.png,0,23.75
22,EmbryonVideoClassif/Frames/V3/23.png,V3,23.png,0,23.75
23,EmbryonVideoClassif/Frames/V3/24.png,V3,24.png,0,23.75
24,EmbryonVideoClassif/Frames/V3/25.png,V3,25.png,0,23.75
25,EmbryonVideoClassif/Frames/V3/26.png,V3,26.png,0,23.75
26,EmbryonVideoClassif/Frames/V3/27.png,V3,27.png,0,23.75
27,EmbryonVideoClassif/Frames/V3/28.png,V3,28.png,0,23.75
28,EmbryonVideoClassif/Frames/V3/29.png,V3,29.png,0,23.75
29,EmbryonVideoClassif/Frames/V3/30.png,V3,30.png,0,23.75
30,EmbryonVideoClassif/Frames/V3/31.png,V3,31.png,0,23.75
31,EmbryonVideoClassif/Frames/V3/32.png,V3,32.png,0,23.75
32,EmbryonVideoClassif/Frames/V3/33.png,V3,33.png,0,23.75
33,EmbryonVideoClassif/Frames/V3/34.png,V3,34.png,0,23.75
34,EmbryonVideoClassif/Frames/V3/35.png,V3,35.png,0,23.75
35,EmbryonVideoClassif/Frames/V3/36.png,V3,36.png,0,23.75
36,EmbryonVideoClassif/Frames/V3/37.png,V3,37.png,0,23.75
37,EmbryonVideoClassif/Frames/V3/38.png,V3,38.png,0,23.75
38,EmbryonVideoClassif/Frames/V3/39.png,V3,39.png,0,23.75
39,EmbryonVideoClassif/Frames/V3/40.png,V3,40.png,0,23.75
40,EmbryonVideoClassif/Frames/V3/41.png,V3,41.png,0,23.75
41,EmbryonVideoClassif/Frames/V3/42.png,V3,42.png,0,23.75
42,EmbryonVideoClassif/Frames/V3/43.png,V3,43.png,0,23.75
43,EmbryonVideoClassif/Frames/V3/44.png,V3,44.png,0,23.75
44,EmbryonVideoClassif/Frames/V3/45.png,V3,45.png,0,23.75
45,EmbryonVideoClassif/Frames/V3/46.png,V3,46.png,0,23.75
46,EmbryonVideoClassif/Frames/V3/47.png,V3,47.png,0,23.75
47,EmbryonVideoClassif/Frames/V3/48.png,V3,48.png,0,23.75
48,EmbryonVideoClassif/Frames/V3/49.png,V3,49.png,0,23.75
49,EmbryonVideoClassif/Frames/V3/50.png,V3,50.png,0,23.75
50,EmbryonVideoClassif/Frames/V3/51.png,V3,51.png,0,23.75
51,EmbryonVideoClassif/Frames/V3/52.png,V3,52.png,0,23.75
52,EmbryonVideoClassif/Frames/V3/53.png,V3,53.png,0,23.75
53,EmbryonVideoClassif/Frames/V3/54.png,V3,54.png,0,23.75
54,EmbryonVideoClassif/Frames/V3/55.png,V3,55.png,0,23.75
55,EmbryonVideoClassif/Frames/V3/56.png,V3,56.png,0,23.75
56,EmbryonVideoClassif/Frames/V3/57.png,V3,57.png,0,23.75
57,EmbryonVideoClassif/Frames/V3/58.png,V3,58.png,0,23.75
58,EmbryonVideoClassif/Frames/V3/59.png,V3,59.png,0,23.75
59,EmbryonVideoClassif/Frames/V3/60.png,V3,60.png,0,23.75
60,EmbryonVideoClassif/Frames/V3/61.png,V3,61.png,0,23.75
61,EmbryonVideoClassif/Frames/V3/62.png,V3,62.png,0,23.75
62,EmbryonVideoClassif/Frames/V3/63.png,V3,63.png,0,23.75
63,EmbryonVideoClassif/Frames/V3/64.png,V3,64.png,0,23.75
64,EmbryonVideoClassif/Frames/V3/65.png,V3,65.png,0,23.75
65,EmbryonVideoClassif/Frames/V3/66.png,V3,66.png,0,23.75
66,EmbryonVideoClassif/Frames/V3/67.png,V3,67.png,0,23.75
67,EmbryonVideoClassif/Frames/V3/68.png,V3,68.png,0,23.75
68,EmbryonVideoClassif/Frames/V3/69.png,V3,69.png,0,23.75
69,EmbryonVideoClassif/Frames/V3/70.png,V3,70.png,0,23.75
70,EmbryonVideoClassif/Frames/V3/71.png,V3,71.png,0,23.75
71,EmbryonVideoClassif/Frames/V3/72.png,V3,72.png,0,23.75
72,EmbryonVideoClassif/Frames/V3/73.png,V3,73.png,0,23.75
73,EmbryonVideoClassif/Frames/V3/74.png,V3,74.png,0,23.75
74,EmbryonVideoClassif/Frames/V3/75.png,V3,75.png,0,23.75
75,EmbryonVideoClassif/Frames/V3/76.png,V3,76.png,0,23.75
76,EmbryonVideoClassif/Frames/V3/77.png,V3,77.png,0,23.75
77,EmbryonVideoClassif/Frames/V3/78.png,V3,78.png,0,23.75
78,EmbryonVideoClassif/Frames/V3/79.png,V3,79.png,0,23.75
79,EmbryonVideoClassif/Frames/V3/80.png,V3,80.png,0,23.75
80,EmbryonVideoClassif/Frames/V3/81.png,V3,81.png,0,23.75
81,EmbryonVideoClassif/Frames/V3/82.png,V3,82.png,0,23.75
82,EmbryonVideoClassif/Frames/V3/83.png,V3,83.png,0,23.75
83,EmbryonVideoClassif/Frames/V3/84.png,V3,84.png,0,23.75
84,EmbryonVideoClassif/Frames/V3/85.png,V3,85.png,0,23.75
85,EmbryonVideoClassif/Frames/V3/86.png,V3,86.png,0,23.75
86,EmbryonVideoClassif/Frames/V3/87.png,V3,87.png,0,23.75
87,EmbryonVideoClassif/Frames/V3/88.png,V3,88.png,0,23.75
88,EmbryonVideoClassif/Frames/V3/89.png,V3,89.png,0,23.75
89,EmbryonVideoClassif/Frames/V3/90.png,V3,90.png,0,23.75
90,EmbryonVideoClassif/Frames/V3/91.png,V3,91.png,0,23.75
91,EmbryonVideoClassif/Frames/V3/92.png,V3,92.png,0,23.75
92,EmbryonVideoClassif/Frames/V3/93.png,V3,93.png,0,23.75
93,EmbryonVideoClassif/Frames/V3/94.png,V3,94.png,0,23.75
94,EmbryonVideoClassif/Frames/V3/95.png,V3,95.png,0,23.75
95,EmbryonVideoClassif/Frames/V3/96.png,V3,96.png,0,23.75
96,EmbryonVideoClassif/Frames/V3/97.png,V3,97.png,0,23.75
97,EmbryonVideoClassif/Frames/V3/98.png,V3,98.png,0,23.75
98,EmbryonVideoClassif/Frames/V3/99.png,V3,99.png,0,23.75
99,EmbryonVideoClassif/Frames/V3/100.png,V3,100.png,0,23.75
